category_id,work_title,main_artist_id,guest_artist_id
AOTY,GNX,12,
AOTY,MAYHEM,13,
AOTY,DeBI TiRAR MaS FOToS,3,
AOTY,Swag,10,
AOTY,Man's Best Friend,19,
AOTY,Chromakopia,23,
AOTY,Let God Sort Em Out,7,
AOTY,Mutt,14,
ROTY,DtMF,3,
ROTY,Manchild,19,
ROTY,Anxiety,8,
ROTY,Wildflower,4,
ROTY,Abracadabra,13,
ROTY,luther,12,18
ROTY,The Subway,6,
ROTY,APT.,17,5
SOTY,Abracadabra,13,
SOTY,APT.,17,5
SOTY,Anxiety,8,
SOTY,DtMF,3,
SOTY,Golden,9,
SOTY,luther,12,18
SOTY,Manchild,19,
SOTY,Wildflower,4,
BNA,,1,
BNA,,14,
BNA,,15,
BNA,,2,
BNA,,11,
BNA,,22,
BNA,,16,
BNA,,20,
